Row,Quad,Age,Animal Most Bones Guess,Your Favorite Thing,Banana Ripeness Choice,Sock Shoe Order,Boring You Fact,Shoe Pair #,Stroop Guess #1,Stroop Correct #1,Stroop Time #1 (msec),Stroop Guess #2,Stroop Correct #2,Stroop Time #2 (msec),Wkday Awake Time
4,2,17,Whale,Movies,4.5,Sock > Sock > Shoe > Shoe,"I like to lay in bed for a while in the morning, if I have the time",5,48,48,1250,52,52,1154,7:00am
1,4,19,Snake,Food (or a particular food),3,Sock > Sock > Shoe > Shoe,I'm a student at CCSF,3,33,33,1818,36,34,1765,8:00am
2,1,26,Giraffe,Myself,4,Other,Im not boring ,34,42,7,1,42,42,41,4:30am
1,1,19,parakeet,Books,4,Sock > Sock > Shoe > Shoe,I am caucasian,4,42,39,1538,52,52,1154,7:00am
2,1,33,chimpanzee ,Books,2.5,Sock > Sock > Shoe > Shoe,I like to bed rot ,13,22,21,2857,44,43,1429,8:00am
1,4,21,Whale ,Myself,4.5,Sock > Sock > Shoe > Shoe,I like to be alone ,40,12,11,5455,31,30,2000,9:00am
1,1,18,fish,Food (or a particular food),3,Sock > Sock > Shoe > Shoe,my favorite color is green,10,23,23,2609,39,38,1579,9:30am
4,2,17,Whale,Food (or a particular food),3.5,Sock > Sock > Shoe > Shoe,Iâ€™m focused on school only,4,35,34,1765,54,54,1111,8:00am
3,2,18,fish ,Music,3.5,Sock > Sock > Shoe > Shoe,I like to knit ,5,31,31,1935,52,52,1154,8:00am
3,3,17,Giraffe,Myself,3,Sock > Sock > Shoe > Shoe,I am not a person who avidly listens to music.,15,17,17,3529,23,23,2609,7:30am
1,1,17,Snakes,Sports,4,Sock > Sock > Shoe > Shoe,I'm not a fan of even old Kanye music ,3,26,23,2609,42,41,1463,8:00am
4,2,19,python ,Sports,3,Sock > Sock > Shoe > Shoe,my texting ,16,26,26,2308,6,6,10000,6:30am
2,4,17,Giraffe ,Music,4,Sock > Sock > Shoe > Shoe,I like to run to stay active,27,19,18,3333,48,48,1250,7:00am
3,3,18,Gorilla,Myself,3.5,Sock > Sock > Shoe > Shoe,I can be cringe,40,55,13,4615,41,41,1463,9:00am
2,4,18,Tiger,A particular person (other than me),4,Sock > Sock > Shoe > Shoe,I am a girl.,5,26,26,2308,29,28,2143,6:00am
2,1,19,Lion,Music,3,Sock > Sock > Shoe > Shoe,Im boring,10,30,28,2143,55,55,1091,7:00am
3,3,18,dinosaur,Music,3.5,Sock > Sock > Shoe > Shoe,I don't really like to go out or talk a lot ,5,25,25,2400,36,34,1765,6:30am
3,2,18,tiger,Food (or a particular food),3.5,Sock > Sock > Shoe > Shoe,i play games,2,26,26,2308,40,40,1500,8:00am
4,3,22,Giraffe,A particular person (other than me),3,Sock > Sock > Shoe > Shoe,I am left handed,15,27,27,2222,40,40,1538,9:00am
4,3,20,Whale,Music,3,Sock > Sock > Shoe > Shoe,I'm male,6,32,32,1875,46,46,1304,7:00am
4,3,23,bat,Music,3.5,Sock > Sock > Shoe > Shoe,I have two closets,14,42,42,1429,50,50,1200,9:30am
4,2,20,python ,Music,5,Sock > Sock > Shoe > Shoe,that i tend to stay home a lot,15,37,37,1622,50,50,1200,8:30am
3,3,18,humans,A particular person (other than me),4,Sock > Sock > Shoe > Shoe,I'm the first child,4,36,35,1714,54,54,1111,9:00am
2,4,18,elephant,Music,4.5,Sock > Sock > Shoe > Shoe,I have an older brother,7,47,47,1277,52,52,1132,7:00am
2,4,18,Whale,Movies,3,Other,I enjoy watching people,3,26,25,2400,34,34,1765,5:30am
2,1,18,Whales,A particular person (other than me),4,Sock > Sock > Shoe > Shoe,I'm ambidextrous,8,31,29,0,40,39,1538,7:30am
